Axonal.Guidance
NEGR1
SLIT2
TCF4
TRIO
PRICKLE2
NAV3
LAMA2
LAMB1
COL6A3
COL5A1
COL5A2
VCAN
FNDC3B
MAGI2
PTEN
AKT3
PDGFRA
JAK1
FOXP1
RORA
SOX5
TCF12
JMJD1C
ARID1B
NFIA
APP
EPHA3
